City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,75.38,clear sky,-23.1203,-134.9692,People ThankYou
3,Nalut,LY,71.65,clear sky,30.3333,10.85,
7,Cascais,PT,66.97,broken clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
18,San Juan,AR,65.93,clear sky,-31.5375,-68.5364,Hotel Provincial
19,Gold Coast,AU,64.99,moderate rain,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
20,Mahebourg,MU,73.69,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
22,Ponta Do Sol,PT,68.0,few clouds,32.6667,-17.1,Hotel do Campo
24,Dzaoudzi,YT,76.89,clear sky,-12.7887,45.2699,Le Rocher
29,Riviere-Au-Renard,CA,70.09,overcast clouds,48.9957,-64.3971,Auberge Le Caribou
31,Juba,SS,72.27,broken clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
32,Huarmey,PE,69.06,scattered clouds,-10.0681,-78.1522,Hotel Miramar
37,Komsomolskiy,UZ,66.92,broken clouds,40.4272,71.7189,Ikathouse
40,Chifeng,CN,61.48,clear sky,42.2683,118.9636,Junyu Tiancheng Hotel
42,Tres Lagoas,BR,63.3,clear sky,-20.7511,-51.6783,Druds Express Hotel
47,Kokoda,PG,71.6,broken clouds,-8.8785,147.7407,Daito Guest House
54,Nago,JP,68.85,scattered clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
58,Guaruja,BR,69.89,scattered clouds,-23.9931,-46.2564,Charme Hotel Guarujá
61,Vinh,VN,75.65,light rain,18.6667,105.6667,Vuong Hoan 2
63,Laela,TZ,65.25,overcast clouds,-8.5667,32.05,
64,Mar Del Plata,AR,62.62,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
68,Maragogi,BR,75.74,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
70,Tortoli,IT,71.42,clear sky,39.9256,9.6572,Hotel La Bitta
77,Tateyama,JP,61.34,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
78,Rio Cuarto,AR,67.77,clear sky,-33.1307,-64.3499,Hotel Menossi
79,Magadi,IN,68.79,overcast clouds,12.9667,77.2333,Gobi centre
80,Carnarvon,AU,70.9,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
82,Mpika,ZM,61.52,overcast clouds,-11.8343,31.4529,Melodies Lodge
83,Gotsu,JP,60.28,clear sky,35.0,132.2167,Yurusato
84,Axim,GH,76.68,moderate rain,4.8699,-2.2405,Axim Beach Resort And Spa
88,Jiazi,CN,72.45,overcast clouds,22.8779,116.067,Hotel Jin Hao
92,Mwene-Ditu,CD,67.68,light rain,-7.0,23.45,African'zuri
95,Nasice,HR,61.41,light rain,45.4886,18.0878,Sobe Markovac
99,Sitka,US,60.69,clear sky,57.0531,-135.33,Westmark Sitka
104,Masuda,JP,60.96,clear sky,34.6667,131.85,Masuda Green Hotel Morris
105,Port Moresby,PG,74.62,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
106,Port Shepstone,ZA,65.79,light rain,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
111,Sembe,CG,70.61,overcast clouds,1.6481,14.5806,
113,Sao Filipe,CV,73.08,scattered clouds,14.8961,-24.4956,Hotel Xaguate
116,La Rioja,ES,67.78,broken clouds,42.25,-2.5,Casa Concejos
118,Senhor Do Bonfim,BR,71.33,broken clouds,-10.4614,-40.1894,Hotel Soul
121,Portland,US,72.14,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
122,Fortuna,US,64.85,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
123,Rawson,AR,60.21,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
124,Tortosa,ES,72.25,overcast clouds,40.8125,0.5216,Parador de Tortosa
126,Nantucket,US,73.45,clear sky,41.2835,-70.0995,Jared Coffin House
127,Souillac,MU,73.78,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
135,Saint-Francois,FR,71.04,clear sky,46.4154,3.9054,Manoir Du Bonheur
137,Montepuez,MZ,63.88,clear sky,-13.1256,38.9997,PembaAparthotel
140,Ondo,NG,72.07,overcast clouds,7.1,4.8333,Leisure Spring Hotel
142,Jishou,CN,64.62,overcast clouds,28.3167,109.7167,7 Days Inn
147,Bukama,CD,72.55,overcast clouds,-9.2,25.85,
149,Chicama,PE,64.94,few clouds,-7.8447,-79.1469,Balihai Bungalows
151,Cambridge,CA,76.39,overcast clouds,43.3601,-80.3127,Cambridge Gateway Suites
154,Posse,BR,68.95,clear sky,-14.0931,-46.3694,Pousada das Palmeiras
156,Alexandria,EG,67.96,clear sky,31.2156,29.9553,Royal Crown Hotel
158,Caravelas,BR,71.92,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
163,Florianopolis,BR,61.83,few clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
166,Namibe,AO,67.75,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
168,Cortez,US,65.16,scattered clouds,37.3489,-108.5859,Sand Canyon National 9 Inn
169,Katherine,AU,66.52,scattered clouds,-14.4667,132.2667,Pine Tree Motel
171,Shu,KZ,61.09,broken clouds,43.5983,73.7614,Shyngyzkhan
172,Arraial Do Cabo,BR,69.76,few clouds,-22.9661,-42.0278,Pousada Porto Praia
174,Raga,SS,76.23,overcast clouds,8.4596,25.678,
175,Hasaki,JP,61.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
176,Tsaratanana,MG,68.16,clear sky,-16.7833,47.65,
181,Bambous Virieux,MU,73.65,few clouds,-20.3428,57.7575,Casa Tia Villa
184,Talara,PE,75.96,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
188,Payo,ID,74.12,overcast clouds,-3.7508,103.6372,Mess keban agung
193,Palu,ID,75.65,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
194,Njeru,UG,66.13,overcast clouds,0.4186,33.1731,2 Friends Guesthouse and Restaurant
197,Quatre Cocos,MU,73.51,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
198,Barcelos,PT,67.91,overcast clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
199,Salto,UY,68.16,broken clouds,-31.3833,-57.9667,Gran Hotel Uruguay
200,Mwinilunga,ZM,61.32,scattered clouds,-11.7358,24.4293,Kwakuwahi Lodge
202,Tabuk,PH,73.0,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
203,Lagoa,PT,63.66,overcast clouds,39.05,-27.9833,Casa Das Faias
