City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,75.38,74,9,7.94,clear sky
1,Port Alfred,ZA,-33.5906,26.891,58.87,76,54,5.12,broken clouds
2,Tombouctou,ML,20.0,-3.0,92.75,7,1,8.39,clear sky
3,Nalut,LY,30.3333,10.85,71.65,10,0,11.83,clear sky
4,Kodiak,US,57.79,-152.4072,45.91,76,100,27.63,overcast clouds
5,Punta Arenas,CL,-53.15,-70.9167,42.91,70,0,13.8,clear sky
6,Lebu,CL,-37.6167,-73.65,54.55,84,96,7.85,light rain
7,Cascais,PT,38.6979,-9.4215,66.97,76,75,25.01,broken clouds
8,Raudeberg,NO,61.9875,5.1352,49.87,82,99,15.99,overcast clouds
9,Kavieng,PG,-2.5744,150.7967,82.56,71,94,11.16,overcast clouds
10,Jamestown,US,42.097,-79.2353,83.84,54,40,12.66,scattered clouds
11,Albany,US,42.6001,-73.9662,90.77,53,4,1.01,clear sky
12,Yulara,AU,-25.2406,130.9889,50.22,54,10,9.19,clear sky
13,Hilo,US,19.7297,-155.09,93.27,76,100,6.91,overcast clouds
14,Cape Town,ZA,-33.9258,18.4232,54.91,81,0,1.14,clear sky
15,Bethel,US,41.3712,-73.414,94.17,56,0,8.05,clear sky
16,Dzhankoy,UA,45.7167,34.4,59.25,43,34,19.13,scattered clouds
17,Mount Gambier,AU,-37.8333,140.7667,44.11,92,8,4.88,clear sky
18,San Juan,AR,-31.5375,-68.5364,65.93,24,0,0.54,clear sky
19,Gold Coast,AU,-28.0,153.4333,64.99,97,100,9.22,moderate rain
20,Mahebourg,MU,-20.4081,57.7,73.69,73,20,8.05,few clouds
21,Onega,RU,63.9061,38.1404,29.66,79,2,7.31,clear sky
22,Ponta Do Sol,PT,32.6667,-17.1,68.0,84,24,2.44,few clouds
23,Ushuaia,AR,-54.8,-68.3,42.46,70,0,2.3,clear sky
24,Dzaoudzi,YT,-12.7887,45.2699,76.89,94,0,5.75,clear sky
25,Bluff,NZ,-46.6,168.3333,51.26,77,100,26.37,overcast clouds
26,San Patricio,US,28.017,-97.5169,96.17,55,8,19.51,clear sky
