City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2022-05-10 02:41:18,-33.65,115.3333,67.41,62,1,3.76
1,Yellowknife,CA,2022-05-10 02:38:56,62.456,-114.3525,23.56,74,100,19.57
2,Port Alfred,ZA,2022-05-10 02:41:19,-33.5906,26.891,60.51,73,91,4.61
3,Ushuaia,AR,2022-05-10 02:40:22,-54.8,-68.3,42.46,75,40,11.5
4,Sioux Lookout,CA,2022-05-10 02:41:19,50.1001,-91.917,51.87,93,75,10.36
5,Comodoro Rivadavia,AR,2022-05-10 02:41:20,-45.8667,-67.5,53.46,43,0,12.66
6,Shestakovo,RU,2022-05-10 02:41:20,56.4915,103.96,40.33,37,94,9.26
7,Yulara,AU,2022-05-10 02:41:21,-25.2406,130.9889,66.04,34,0,10.36
8,Rikitea,PF,2022-05-10 02:41:21,-23.1203,-134.9692,76.62,70,33,11.61
9,Bluff,NZ,2022-05-10 02:41:22,-46.6,168.3333,52.81,61,57,2.86
10,Ketchikan,US,2022-05-10 02:37:13,55.3422,-131.6461,57.67,58,0,12.66
11,Catuday,PH,2022-05-10 02:41:23,16.2923,119.8062,85.26,63,2,7.2
12,Havelock,US,2022-05-10 02:39:11,34.8791,-76.9013,59.0,45,75,14.97
13,Chicama,PE,2022-05-10 02:41:23,-7.8447,-79.1469,59.54,88,44,4.5
14,Krasnoselkup,RU,2022-05-10 02:41:24,65.7,82.4667,35.35,100,100,11.56
15,Butaritari,KI,2022-05-10 02:41:24,3.0707,172.7902,81.59,74,9,19.01
16,Rocha,UY,2022-05-10 02:41:25,-34.4833,-54.3333,55.94,95,100,1.48
17,Qui Nhon,VN,2022-05-10 02:41:25,13.7667,109.2333,84.11,71,72,7.99
18,Faanui,PF,2022-05-10 02:41:26,-16.4833,-151.75,81.97,75,10,15.68
19,Tuatapere,NZ,2022-05-10 02:41:26,-46.1333,167.6833,51.57,64,31,4.14
20,Barrow,US,2022-05-10 02:41:27,71.2906,-156.7887,30.22,86,100,14.97
21,Sangar,RU,2022-05-10 02:41:27,63.9242,127.4739,28.49,62,7,15.48
22,Atuona,PF,2022-05-10 02:41:28,-9.8,-139.0333,78.67,77,20,20.49
23,Guanare,VE,2022-05-10 02:41:28,9.0418,-69.7421,78.82,100,100,0.0
24,Necochea,AR,2022-05-10 02:41:29,-38.5473,-58.7368,48.63,81,31,8.01
25,Souillac,MU,2022-05-10 02:41:29,-20.5167,57.5167,71.98,100,75,5.75
26,Punta Arenas,CL,2022-05-10 02:39:05,-53.15,-70.9167,41.11,81,20,6.91
27,Provideniya,RU,2022-05-10 02:41:30,64.3833,-173.3,36.25,59,3,6.91
28,Panuco,MX,2022-05-10 02:41:30,22.05,-98.1667,82.58,82,1,10.2
29,Carnarvon,AU,2022-05-10 02:41:31,-24.8667,113.6333,78.87,50,100,4.61
30,Nikolskoye,RU,2022-05-10 02:41:32,59.7035,30.7861,39.87,72,25,4.36
31,Dikson,RU,2022-05-10 02:41:32,73.5069,80.5464,19.09,88,12,17.78
32,Avarua,CK,2022-05-10 02:41:33,-21.2078,-159.775,84.25,79,75,5.75
33,Shahrud,IR,2022-05-10 02:41:33,36.4182,54.9763,54.57,54,0,5.57
34,Arraial Do Cabo,BR,2022-05-10 02:41:34,-22.9661,-42.0278,71.31,68,0,3.38
35,Beringovskiy,RU,2022-05-10 02:41:34,63.05,179.3167,37.09,80,100,6.15
36,Helong,CN,2022-05-10 02:41:34,42.5397,128.9972,75.38,15,3,5.97
