City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tiarei,PF,2022-05-21 01:35:36,-17.5333,-149.3333,84.22,72,3,5.55
1,Pokhara,NP,2022-05-21 01:35:37,28.2333,83.9833,76.21,55,6,2.24
2,New Norfolk,AU,2022-05-21 01:35:37,-42.7826,147.0587,51.93,75,10,1.57
3,Laguna,US,2022-05-21 01:34:43,38.421,-121.4238,82.69,13,0,21.85
4,Tacuarembo,UY,2022-05-21 01:35:38,-31.7333,-55.9833,45.55,88,0,4.88
5,Longyearbyen,SJ,2022-05-21 01:35:38,78.2186,15.6401,33.64,80,75,5.75
6,Puerto Carreno,CO,2022-05-21 01:35:39,6.189,-67.4859,79.09,71,2,5.39
7,Port Elizabeth,ZA,2022-05-21 01:35:39,-33.918,25.5701,56.32,99,100,4.61
8,Ushuaia,AR,2022-05-21 01:35:39,-54.8,-68.3,44.26,70,75,5.75
9,Kruisfontein,ZA,2022-05-21 01:35:40,-34.0033,24.7314,53.89,88,79,7.25
10,Pita,GN,2022-05-21 01:35:40,10.8333,-12.5833,75.29,92,99,1.81
11,Dikson,RU,2022-05-21 01:35:41,73.5069,80.5464,28.53,88,97,6.62
12,Walvis Bay,NA,2022-05-21 01:35:41,-22.9575,14.5053,49.15,76,0,3.44
13,Rikitea,PF,2022-05-21 01:35:41,-23.1203,-134.9692,74.1,77,9,7.78
14,Kapaa,US,2022-05-21 01:31:55,22.0752,-159.319,80.58,89,75,14.97
15,Gustavo Diaz Ordaz,MX,2022-05-21 01:35:42,26.2333,-98.5833,87.04,70,12,1.01
16,Stara Vyzhivka,UA,2022-05-21 01:35:43,51.4376,24.44,57.9,95,100,6.71
17,Ayna,PE,2022-05-21 01:35:43,-12.65,-73.9167,57.99,84,65,0.63
18,Mahebourg,MU,2022-05-21 01:35:43,-20.4081,57.7,75.25,88,40,11.5
19,Turinsk,RU,2022-05-21 01:35:45,58.0458,63.696,42.39,63,100,3.36
20,Port Macquarie,AU,2022-05-21 01:35:45,-31.4333,152.9167,66.88,76,100,9.44
21,Komsomolskiy,UZ,2022-05-21 01:35:45,40.4272,71.7189,65.12,68,47,4.61
22,Teya,RU,2022-05-21 01:35:46,60.3778,92.6267,56.35,64,100,7.25
23,Cabo San Lucas,MX,2022-05-21 01:35:46,22.8909,-109.9124,78.62,62,0,12.66
24,Tasiilaq,GL,2022-05-21 01:35:47,65.6145,-37.6368,35.76,81,0,5.95
25,Pisco,PE,2022-05-21 01:35:47,-13.7,-76.2167,65.01,82,49,16.11
26,Cape Town,ZA,2022-05-21 01:31:22,-33.9258,18.4232,55.11,87,75,5.75
27,Kodiak,US,2022-05-21 01:35:48,57.79,-152.4072,45.91,81,100,19.57
28,Arraial Do Cabo,BR,2022-05-21 01:35:48,-22.9661,-42.0278,67.87,75,46,10.29
29,Cambuci,BR,2022-05-21 01:35:49,-21.5753,-41.9111,58.71,83,0,0.78
30,Bambous Virieux,MU,2022-05-21 01:35:49,-20.3428,57.7575,75.22,88,40,11.5
31,Faanui,PF,2022-05-21 01:35:49,-16.4833,-151.75,80.62,70,18,7.02
32,San Patricio,US,2022-05-21 01:35:50,28.017,-97.5169,84.06,78,1,26.33
33,Saskylakh,RU,2022-05-21 01:35:50,71.9167,114.0833,32.34,96,97,7.87
34,Severo-Kurilsk,RU,2022-05-21 01:35:50,50.6789,156.125,43.88,86,100,15.39
35,Somerset West,ZA,2022-05-21 01:35:51,-34.084,18.8211,54.07,87,20,2.17
36,Pecos,US,2022-05-21 01:35:51,31.4229,-103.4932,95.83,6,0,11.5
37,Geraldton,AU,2022-05-21 01:35:52,-28.7667,114.6,61.21,88,0,8.05
38,Chokurdakh,RU,2022-05-21 01:35:52,70.6333,147.9167,35.51,100,85,7.11
39,Cantapoy,PH,2022-05-21 01:35:52,9.4906,125.4364,81.3,79,99,5.86
40,Masuguru,TZ,2022-05-21 01:35:53,-11.3667,38.4167,65.1,96,71,1.97
41,Hermanus,ZA,2022-05-21 01:35:53,-34.4187,19.2345,56.55,74,46,4.83
42,Fortuna,US,2022-05-21 01:35:54,40.5982,-124.1573,57.92,74,0,20.71
43,Dolinsk,RU,2022-05-21 01:36:54,47.35,142.8,57.69,67,65,10.69
44,Alyangula,AU,2022-05-21 01:36:55,-13.8483,136.4192,84.88,60,1,14.92
45,Busselton,AU,2022-05-21 01:35:29,-33.65,115.3333,64.51,61,2,10.18
46,Thompson,CA,2022-05-21 01:36:55,55.7435,-97.8558,37.56,70,75,8.05
